"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Нельзя зарегистрировать пользователя, который уже существует","797","Регистрация уже существующего пользователя","","Fri Mar 14 13:52:04 GMT+05:00 2025","passed","Fri Mar 14 13:52:05 GMT+05:00 2025","","user.TestCreateUser","user.TestCreateUser","createExistUser"
"Нельзя авторизоваться с неверным паролем","863","Авторизация с неверным паролем","","Fri Mar 14 13:52:07 GMT+05:00 2025","passed","Fri Mar 14 13:52:08 GMT+05:00 2025","","user.TestLoginUser","user.TestLoginUser","userLoginWithWrongPassword"
"Нельзя создать заказ без ингрелиентов","790","Создание заказа без ингредиентов","","Fri Mar 14 13:52:02 GMT+05:00 2025","passed","Fri Mar 14 13:52:03 GMT+05:00 2025","","order.TestOrder","order.TestOrder","createOrderWithoutIngredients"
"Нельзя зарегистрировать пользователя без заполнения поля пароль","245","Регистрация пользователя без заполнения поля пароль","","Fri Mar 14 13:52:03 GMT+05:00 2025","passed","Fri Mar 14 13:52:03 GMT+05:00 2025","","user.TestCreateUser","user.TestCreateUser","createUserWithoutPassword"
"нельзя создать заказ без авторизации","812","Создание заказа неавторизованным пользователем","","Fri Mar 14 13:52:02 GMT+05:00 2025","passed","Fri Mar 14 13:52:02 GMT+05:00 2025","","order.TestOrder","order.TestOrder","createOrderWithoutLogin"
"Нельзя зарегистрировать пользователя без заполнения поля Имя","243","Регистрация пользователя без заполнения поля Имя","","Fri Mar 14 13:52:04 GMT+05:00 2025","passed","Fri Mar 14 13:52:04 GMT+05:00 2025","","user.TestCreateUser","user.TestCreateUser","createUserWithoutName"
"Можно создать заказ авторизованным пользователем","3195","Создание заказа c ингридиентами авторизованным пользователем","","Fri Mar 14 13:51:58 GMT+05:00 2025","passed","Fri Mar 14 13:52:01 GMT+05:00 2025","","order.TestOrder","order.TestOrder","createOrderByAuthorizedUser"
"Нельзя получить список заказов без авторизации","3161","Получение списка заказов неавторизованным пользователем","","Fri Mar 14 13:51:53 GMT+05:00 2025","passed","Fri Mar 14 13:51:56 GMT+05:00 2025","","order.TestListOfOrders","order.TestListOfOrders","listOfOrdersWithoutLogin"
"Успешная регистрация нового пользователя","549","Регистрация нового пользователя","","Fri Mar 14 13:52:03 GMT+05:00 2025","passed","Fri Mar 14 13:52:04 GMT+05:00 2025","","user.TestCreateUser","user.TestCreateUser","successCreateUser"
"Пользователя нельзя создать без email","238","Регистрация пользователя без заполнения email","","Fri Mar 14 13:52:05 GMT+05:00 2025","passed","Fri Mar 14 13:52:05 GMT+05:00 2025","","user.TestCreateUser","user.TestCreateUser","createUserWhithoutEmail"
"ельзя авторизоваться с неверным логином","788","Авторизация с неверным логином","","Fri Mar 14 13:52:06 GMT+05:00 2025","passed","Fri Mar 14 13:52:07 GMT+05:00 2025","","user.TestLoginUser","user.TestLoginUser","userLoginWithWrongEmail"
"Можно получить список заказов авторизованным пользователем","1119","Получение списка заказов авторизованным пользователем","","Fri Mar 14 13:51:56 GMT+05:00 2025","passed","Fri Mar 14 13:51:58 GMT+05:00 2025","","order.TestListOfOrders","order.TestListOfOrders","getOrdersByAuthorizedUser"
"нельзя создать заказ с неверными хешами ингридиентов","812","Создание заказа с неверными хешами ингридиентов","","Fri Mar 14 13:52:01 GMT+05:00 2025","passed","Fri Mar 14 13:52:02 GMT+05:00 2025","","order.TestOrder","order.TestOrder","createOrderWithWrongHash"
"Пользователь может авторизоваться","878","Успешный логин пользователя","","Fri Mar 14 13:52:05 GMT+05:00 2025","passed","Fri Mar 14 13:52:06 GMT+05:00 2025","","user.TestLoginUser","user.TestLoginUser","userLoginSuccess"
