"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 21 15:08:35 GMT+05:00 2025","Fri Mar 21 15:08:36 GMT+05:00 2025","1021","","user.TestLoginUser","","user.TestLoginUser","userLoginWithWrongPassword","Авторизация с неверным паролем","Нельзя авторизоваться с неверным паролем"
"passed","Fri Mar 21 15:08:32 GMT+05:00 2025","Fri Mar 21 15:08:33 GMT+05:00 2025","945","","user.TestCreateUser","","user.TestCreateUser","createExistUser","Регистрация уже существующего пользователя","Нельзя зарегистрировать пользователя, который уже существует"
"passed","Fri Mar 21 15:08:37 GMT+05:00 2025","Fri Mar 21 15:08:38 GMT+05:00 2025","1024","","user.TestUserUpdate","","user.TestUserUpdate","updateNameSuccess","Изменение данных авторизованного пользователя","Можно изменить имя авторизованного пользователя"
"passed","Fri Mar 21 15:08:41 GMT+05:00 2025","Fri Mar 21 15:08:42 GMT+05:00 2025","899","","user.TestUserUpdate","","user.TestUserUpdate","updateNameFailed","Изменение данных неавторизвоанного пользователя","Нельзя изменить Имя неавторизованного пользователя"
"passed","Fri Mar 21 15:08:34 GMT+05:00 2025","Fri Mar 21 15:08:35 GMT+05:00 2025","913","","user.TestLoginUser","","user.TestLoginUser","userLoginWithWrongEmail","Авторизация с неверным логином","ельзя авторизоваться с неверным логином"
"passed","Fri Mar 21 15:08:23 GMT+05:00 2025","Fri Mar 21 15:08:25 GMT+05:00 2025","1382","","order.TestListOfOrders","","order.TestListOfOrders","getOrdersByAuthorizedUser","Получение списка заказов авторизованным пользователем","Можно получить список заказов авторизованным пользователем"
"passed","Fri Mar 21 15:08:31 GMT+05:00 2025","Fri Mar 21 15:08:32 GMT+05:00 2025","634","","user.TestCreateUser","","user.TestCreateUser","successCreateUser","Регистрация нового пользователя","Успешная регистрация нового пользователя"
"passed","Fri Mar 21 15:08:31 GMT+05:00 2025","Fri Mar 21 15:08:31 GMT+05:00 2025","278","","user.TestCreateUser","","user.TestCreateUser","createUserWithoutPassword","Регистрация пользователя без заполнения поля пароль","Нельзя зарегистрировать пользователя без заполнения поля пароль"
"passed","Fri Mar 21 15:08:20 GMT+05:00 2025","Fri Mar 21 15:08:23 GMT+05:00 2025","3512","","order.TestListOfOrders","","order.TestListOfOrders","listOfOrdersWithoutLogin","Получение списка заказов неавторизованным пользователем","Нельзя получить список заказов без авторизации"
"passed","Fri Mar 21 15:08:32 GMT+05:00 2025","Fri Mar 21 15:08:32 GMT+05:00 2025","281","","user.TestCreateUser","","user.TestCreateUser","createUserWithoutName","Регистрация пользователя без заполнения поля Имя","Нельзя зарегистрировать пользователя без заполнения поля Имя"
"passed","Fri Mar 21 15:08:40 GMT+05:00 2025","Fri Mar 21 15:08:41 GMT+05:00 2025","1009","","user.TestUserUpdate","","user.TestUserUpdate","updatePasswordSuccess","Изменение данных авторизованного пользователя","Можно изменить пароль у авторизованного пользователя"
"passed","Fri Mar 21 15:08:30 GMT+05:00 2025","Fri Mar 21 15:08:31 GMT+05:00 2025","909","","order.TestOrder","","order.TestOrder","createOrderWithoutIngredients","Создание заказа без ингредиентов","Нельзя создать заказ без ингрелиентов"
"passed","Fri Mar 21 15:08:39 GMT+05:00 2025","Fri Mar 21 15:08:40 GMT+05:00 2025","938","","user.TestUserUpdate","","user.TestUserUpdate","updatePasswordFailed","Изменение данных неавторизвоанного пользователя","Нельзя изменить пароль неавторизованного пользователя"
"passed","Fri Mar 21 15:08:29 GMT+05:00 2025","Fri Mar 21 15:08:30 GMT+05:00 2025","959","","order.TestOrder","","order.TestOrder","createOrderWithoutLogin","Создание заказа неавторизованным пользователем","нельзя создать заказ без авторизации"
"passed","Fri Mar 21 15:08:33 GMT+05:00 2025","Fri Mar 21 15:08:34 GMT+05:00 2025","1035","","user.TestLoginUser","","user.TestLoginUser","userLoginSuccess","Успешный логин пользователя","Пользователь может авторизоваться"
"passed","Fri Mar 21 15:08:38 GMT+05:00 2025","Fri Mar 21 15:08:39 GMT+05:00 2025","1052","","user.TestUserUpdate","","user.TestUserUpdate","updateEmailSuccess","Изменение данных авторизованного пользователя","Изменение email авторизованого пользователя"
"passed","Fri Mar 21 15:08:28 GMT+05:00 2025","Fri Mar 21 15:08:29 GMT+05:00 2025","936","","order.TestOrder","","order.TestOrder","createOrderWithWrongHash","Создание заказа с неверными хешами ингридиентов","нельзя создать заказ с неверными хешами ингридиентов"
"passed","Fri Mar 21 15:08:36 GMT+05:00 2025","Fri Mar 21 15:08:37 GMT+05:00 2025","925","","user.TestUserUpdate","","user.TestUserUpdate","updateEmailFailed","Изменение данных неавторизвоанного пользователя","Нельзя изменить email неавторизованного пользователя"
"passed","Fri Mar 21 15:08:25 GMT+05:00 2025","Fri Mar 21 15:08:28 GMT+05:00 2025","3608","","order.TestOrder","","order.TestOrder","createOrderByAuthorizedUser","Создание заказа c ингридиентами авторизованным пользователем","Можно создать заказ авторизованным пользователем"
"passed","Fri Mar 21 15:08:33 GMT+05:00 2025","Fri Mar 21 15:08:33 GMT+05:00 2025","269","","user.TestCreateUser","","user.TestCreateUser","createUserWhithoutEmail","Регистрация пользователя без заполнения email","Пользователя нельзя создать без email"
